%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210463, 2022/07/14 11:16:34.63)
234 1873 4.633305e-02 0 0 1.308767e-05 4.093805e-05 3.341620e-06 8.265393e-07 
235 1881 4.102585e-02 0 0 1.181778e-05 3.470666e-05 2.851105e-06 6.993313e-07 
236 1889 3.323962e-02 0 0 9.208626e-06 2.662747e-05 2.199938e-06 5.409669e-07 
237 1897 3.030148e-02 0 0 8.241078e-06 2.287196e-05 1.964605e-06 4.800724e-07 
238 1905 2.753284e-02 0 0 7.096881e-06 2.028836e-05 1.742940e-06 4.158804e-07 
239 1913 2.866048e-02 0 0 7.167627e-06 2.166552e-05 1.808914e-06 4.209845e-07 
240 1921 2.362593e-02 0 0 5.594592e-06 1.712266e-05 1.415575e-06 3.425949e-07 
241 1929 2.181251e-02 0 0 4.888550e-06 1.497128e-05 1.300990e-06 3.020016e-07 
242 1937 1.872046e-02 0 0 3.968701e-06 1.232293e-05 1.112621e-06 2.458945e-07 
243 1945 1.703788e-02 0 0 3.475432e-06 1.116784e-05 9.718622e-07 2.139421e-07 
244 1953 1.532983e-02 0 0 2.989641e-06 9.547549e-06 8.943704e-07 1.882321e-07 
245 1961 1.349880e-02 0 0 2.618794e-06 7.961557e-06 7.452887e-07 1.594042e-07 
246 1969 1.221397e-02 0 0 2.249351e-06 7.031251e-06 6.367362e-07 1.434051e-07 
247 1977 1.118478e-02 0 0 1.947347e-06 6.088480e-06 5.661526e-07 1.321657e-07 
248 1985 1.069036e-02 0 0 1.751860e-06 5.539706e-06 5.269751e-07 1.263375e-07 
249 1993 1.088917e-02 0 0 1.751283e-06 5.516715e-06 5.905071e-07 1.238862e-07 
250 2001 1.063092e-02 0 0 1.650239e-06 5.079756e-06 5.889659e-07 1.163479e-07 
251 2009 9.008506e-03 0 0 1.332814e-06 4.190586e-06 4.839055e-07 9.316818e-08 
252 2017 7.979671e-03 0 0 1.135270e-06 3.526958e-06 4.136535e-07 7.830642e-08 
253 2025 7.864449e-03 0 0 1.232073e-06 3.406059e-06 4.074555e-07 7.332198e-08 
254 2033 7.889263e-03 0 0 1.213197e-06 3.257813e-06 4.185905e-07 7.163965e-08 
255 2041 6.581378e-03 0 0 9.714153e-07 2.585927e-06 3.313620e-07 5.653266e-08 
256 2049 5.424482e-03 0 0 7.632725e-07 2.022637e-06 2.584999e-07 4.481716e-08 
257 2057 4.366994e-03 0 0 5.849837e-07 1.558137e-06 1.971615e-07 3.430544e-08 
258 2065 4.249711e-03 0 0 5.360129e-07 1.461902e-06 2.013769e-07 3.167548e-08 
259 2073 3.557047e-03 0 0 4.236852e-07 1.158114e-06 1.619575e-07 2.507409e-08 
260 2081 2.896851e-03 0 0 3.303835e-07 9.045177e-07 1.268004e-07 1.958747e-08 
261 2089 2.983595e-03 0 0 3.244336e-07 9.701984e-07 1.365621e-07 1.909026e-08 
262 2097 2.427739e-03 0 0 2.534996e-07 7.613591e-07 1.070234e-07 1.471673e-08 
263 2105 2.397207e-03 0 0 2.498394e-07 7.258628e-07 1.052650e-07 1.391625e-08 
264 2113 2.240172e-03 0 0 2.210933e-07 6.466487e-07 1.004411e-07 1.233788e-08 
265 2121 2.105956e-03 0 0 2.077954e-07 5.842170e-07 8.982691e-08 1.168114e-08 
266 2129 1.809490e-03 0 0 1.734414e-07 4.735660e-07 7.459593e-08 9.734482e-09 
267 2137 1.528994e-03 0 0 1.383904e-07 3.904268e-07 6.084909e-08 7.856399e-09 
268 2145 1.440779e-03 0 0 1.290834e-07 3.522570e-07 5.436385e-08 7.035707e-09 
269 2153 1.289365e-03 0 0 1.132307e-07 3.165162e-07 4.780278e-08 5.930582e-09 
270 2161 1.349436e-03 0 0 1.163667e-07 3.284155e-07 5.231495e-08 5.878768e-09 
271 2169 1.415048e-03 0 0 1.155702e-07 3.403191e-07 6.097856e-08 5.922126e-09 
272 2177 1.358490e-03 0 0 1.059675e-07 3.260309e-07 5.577263e-08 5.587322e-09 
273 2185 1.270935e-03 0 0 9.974872e-08 2.908311e-07 5.154627e-08 5.148453e-09 
274 2193 1.302858e-03 0 0 9.695954e-08 2.853820e-07 5.457943e-08 5.357037e-09 
275 2201 1.209195e-03 0 0 8.538363e-08 2.496505e-07 4.889081e-08 4.897164e-09 
